number,formid,form.section_1_visit_information.visit_date,form.section_1_visit_information.crop_stage,form.section_1_visit_information.crops_observed_during_this_visit,form.section_1_visit_information.select_crop_condition.crop_condition_maize,form.section_1_visit_information.select_crop_condition.crop_condition_rice,form.section_1_visit_information.select_crop_condition.crop_condition_groundnuts,form.section_2_livestock_monitoring.which_livestock_were_observed_during_this_visit,form.section_2_livestock_monitoring.select_livestock_condition.goat_condition,form.section_2_livestock_monitoring.select_livestock_condition.rabbit_condition,form.section_3_adoption_of_recommended_practices.has_the_farmer_adopted_the_recommended_farming_practices,form.section_3_adoption_of_recommended_practices.which_recommended_practices_have_been_adopted,form.section_4_farm_challenges.what_challenges_were_observed_during_the_visit,form.section_4_farm_challenges.additional_comments,form.section_4_farm_challenges.capture_farm_photograph,form.section_5_farm_location.capture_monitoring_visit_gps,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,monitoring_duration_minutes,monitoring_latitude,monitoring_longitude,registration_latitude,registration_longitude,gps_distance_meters,gps_within_expected_range
11,c6cecf50-f043-48c2-a00e-f9be08b4fd09,2026-03-28,harvesting,rice maize groundnuts,good,good,good,goats,good,---,no,---,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/c6cecf50-f043-48c2-a00e-f9be08b4fd09/1783932030820.jpg,10.5455562 7.5610695 0.0 20.0,499e45bb-5c7e-4b03-ab4e-9329bdd4ebaa,2026-03-28 12:55:00,2026-03-28 12:49:00,tester_02,2026-03-28 12:55:21,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c6cecf50-f043-48c2-a00e-f9be08b4fd09/,tester_02,6.0,10.5455562,7.5610695,10.5458602,7.5609771,35.28013283023788,Yes
12,3e76d06d-c2b7-400d-afa5-ed23f3c9a7e6,2026-02-03,harvesting,groundnuts,---,---,fair,goats,fair,---,yes,improved_seed timely_weeding pest_management fertilizer_application,pest_infestation lack_of_fertilizer crop_disease,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/3e76d06d-c2b7-400d-afa5-ed23f3c9a7e6/1784512635714.jpg,10.5454260 7.5605894 0.0 20.0,499e45bb-5c7e-4b03-ab4e-9329bdd4ebaa,2026-02-03 15:31:00,2026-02-03 15:27:00,tester_02,2026-02-03 15:31:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/3e76d06d-c2b7-400d-afa5-ed23f3c9a7e6/,tester_02,4.0,10.545426,7.5605894,10.5458602,7.5609771,64.2439332827593,Yes
13,63de0fbf-c3da-467c-9519-ff1213ddd5c6,2026-06-28,land_preparation,maize,fair,---,---,---,---,---,yes,fertilizer_application pest_management improved_seed proper_spacing timely_weeding,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/63de0fbf-c3da-467c-9519-ff1213ddd5c6/1784427960258.jpg,10.4380164 7.4475721 0.0 20.0,c7dadbe9-1811-4547-b9eb-916c498cb66c,2026-06-28 09:14:00,2026-06-28 09:11:00,tester_07,2026-06-28 09:14:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/63de0fbf-c3da-467c-9519-ff1213ddd5c6/,tester_07,3.0,10.4380164,7.4475721,10.4378077,7.4477526,30.465497081344914,Yes
14,be957052-04a8-4dda-8401-5aa3178153e0,2026-08-18,harvesting,maize,poor,---,---,---,---,---,yes,pest_management fertilizer_application improved_seed improved_livestock_housing timely_weeding proper_spacing,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/be957052-04a8-4dda-8401-5aa3178153e0/1784514677230.jpg,10.4375954 7.4480656 0.0 20.0,c7dadbe9-1811-4547-b9eb-916c498cb66c,2026-08-18 12:26:00,2026-08-18 12:18:00,tester_07,2026-08-18 12:26:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/be957052-04a8-4dda-8401-5aa3178153e0/,tester_07,8.0,10.4375954,7.4480656,10.4378077,7.4477526,41.57929462889222,Yes
15,a503bd43-2b4c-4500-a337-541b5fa94347,2026-08-03,vegetative_growth,groundnuts rice maize,good,fair,fair,goats,fair,---,yes,fertilizer_application proper_spacing improved_seed,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/a503bd43-2b4c-4500-a337-541b5fa94347/1783172563388.jpg,10.5556814 7.4969181 0.0 20.0,57ce2989-ae55-4b5e-a1ca-99ea4908e4ca,2026-08-03 10:32:00,2026-08-03 10:28:00,tester_07,2026-08-03 10:32:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a503bd43-2b4c-4500-a337-541b5fa94347/,tester_07,4.0,10.5556814,7.4969181,10.5558851,7.4969667,23.265099454597788,Yes
16,b769f233-661d-4131-ba24-722bf3edd1de,2026-05-29,planting,rice,---,poor,---,goats,good,---,yes,proper_spacing improved_livestock_housing improved_seed pest_management timely_weeding,poor_rainfall lack_of_fertilizer flooding,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/b769f233-661d-4131-ba24-722bf3edd1de/1784474589808.jpg,10.5561845 7.4969777 0.0 20.0,57ce2989-ae55-4b5e-a1ca-99ea4908e4ca,2026-05-29 14:48:00,2026-05-29 14:42:00,tester_07,2026-05-29 14:48:21,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b769f233-661d-4131-ba24-722bf3edd1de/,tester_07,6.0,10.5561845,7.4969777,10.5558851,7.4969667,33.313469114771614,Yes
17,afd40bec-cb9a-4e6a-9f77-1311a6f30082,2026-06-01,flowering,rice maize,poor,good,---,goats,fair,---,yes,fertilizer_application proper_spacing improved_seed timely_weeding improved_livestock_housing,poor_rainfall,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/afd40bec-cb9a-4e6a-9f77-1311a6f30082/1783353309916.jpg,10.5559708 7.4969648 0.0 20.0,57ce2989-ae55-4b5e-a1ca-99ea4908e4ca,2026-06-01 08:52:00,2026-06-01 08:49:00,tester_07,2026-06-01 08:52:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/afd40bec-cb9a-4e6a-9f77-1311a6f30082/,tester_07,3.0,10.5559708,7.4969648,10.5558851,7.4969667,9.531668317359443,Yes
18,39fc248a-7142-4cc1-9765-84234d14f5d9,2026-08-15,harvesting,rice groundnuts,---,poor,fair,goats,good,---,yes,fertilizer_application pest_management improved_seed improved_livestock_housing proper_spacing timely_weeding,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/39fc248a-7142-4cc1-9765-84234d14f5d9/1783074050602.jpg,10.2838820 7.2999506 0.0 20.0,fa171e98-9225-46a9-96bd-76f3bd5f1d6a,2026-08-15 14:42:00,2026-08-15 14:35:00,tester_05,2026-08-15 14:42:26,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/39fc248a-7142-4cc1-9765-84234d14f5d9/,tester_05,7.0,10.283882,7.2999506,10.2840306,7.2998119,22.434526613992976,Yes
19,8767bcd0-7766-4700-9591-02a444a53166,2026-09-12,harvesting,rice groundnuts,---,good,poor,goats,fair,---,partially,improved_seed proper_spacing,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/8767bcd0-7766-4700-9591-02a444a53166/1783598346760.jpg,10.2840627 7.3002611 0.0 20.0,fa171e98-9225-46a9-96bd-76f3bd5f1d6a,2026-09-12 13:00:00,2026-09-12 12:56:00,tester_05,2026-09-12 13:00:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/8767bcd0-7766-4700-9591-02a444a53166/,tester_05,4.0,10.2840627,7.3002611,10.2840306,7.2998119,49.27576911060665,Yes
20,c8739bf5-22c9-4bfb-8df3-f0dec265a917,2026-08-13,harvesting,groundnuts,---,---,good,goats,fair,---,no,---,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/c8739bf5-22c9-4bfb-8df3-f0dec265a917/1783256357838.jpg,10.2278921 7.5096984 0.0 20.0,eb2ccea0-0dec-472e-b456-e68a3a68eb81,2026-08-13 16:51:00,2026-08-13 16:44:00,tester_07,2026-08-13 16:51:25,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c8739bf5-22c9-4bfb-8df3-f0dec265a917/,tester_07,7.0,10.2278921,7.5096984,10.2277683,7.5093307,42.52634930243064,Yes
21,be96caec-a30d-44ce-8420-64171552aace,2026-05-19,planting,groundnuts,---,---,poor,goats,poor,---,no,---,lack_of_fertilizer,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/be96caec-a30d-44ce-8420-64171552aace/1783153158573.jpg,10.2280807 7.5093076 0.0 20.0,eb2ccea0-0dec-472e-b456-e68a3a68eb81,2026-05-19 10:22:00,2026-05-19 10:14:00,tester_07,2026-05-19 10:22:06,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/be96caec-a30d-44ce-8420-64171552aace/,tester_07,8.0,10.2280807,7.5093076,10.2277683,7.5093307,34.82914540785595,Yes
22,3bcdcd60-6551-4eff-a2a4-d16863645087,2026-05-28,planting,maize,poor,---,---,---,---,---,yes,proper_spacing improved_seed fertilizer_application pest_management,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/3bcdcd60-6551-4eff-a2a4-d16863645087/1784444029972.jpg,10.2770752 7.4655948 0.0 20.0,8c583a1e-23ce-48b3-8790-b17385953104,2026-05-28 08:32:00,2026-05-28 08:28:00,tester_07,2026-05-28 08:32:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/3bcdcd60-6551-4eff-a2a4-d16863645087/,tester_07,4.0,10.2770752,7.4655948,10.276736,7.4659718,55.89266690371234,Yes
23,bb20d2b4-4370-4e57-bdde-2bbddf82034f,2026-08-25,harvesting,groundnuts,---,---,poor,---,---,---,no,---,flooding poor_rainfall,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/bb20d2b4-4370-4e57-bdde-2bbddf82034f/1784604127020.jpg,10.3824238 7.5543855 0.0 20.0,162b756a-c139-4998-8e1c-291d6843d9ca,2026-08-25 14:06:00,2026-08-25 14:00:00,tester_03,2026-08-25 14:06:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/bb20d2b4-4370-4e57-bdde-2bbddf82034f/,tester_03,6.0,10.3824238,7.5543855,10.3821665,7.5544548,29.597450884407646,Yes
24,7dc875fb-4227-48c0-ad68-30aff9493d59,2026-10-24,planting,groundnuts,---,---,fair,---,---,---,partially,fertilizer_application timely_weeding,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/7dc875fb-4227-48c0-ad68-30aff9493d59/1784175770807.jpg,10.3825939 7.5543557 0.0 20.0,162b756a-c139-4998-8e1c-291d6843d9ca,2026-10-24 17:01:00,2026-10-24 16:57:00,tester_03,2026-10-24 17:01:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/7dc875fb-4227-48c0-ad68-30aff9493d59/,tester_03,4.0,10.3825939,7.5543557,10.3821665,7.5544548,48.7450719918466,Yes
25,727da262-a920-4737-9e1d-ee1b9acacf8e,2026-07-21,harvesting,groundnuts,---,---,good,---,---,---,yes,proper_spacing improved_livestock_housing timely_weeding improved_seed pest_management,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/727da262-a920-4737-9e1d-ee1b9acacf8e/1783274692365.jpg,10.3823666 7.5544749 0.0 20.0,162b756a-c139-4998-8e1c-291d6843d9ca,2026-07-21 11:36:00,2026-07-21 11:29:00,tester_03,2026-07-21 11:36:21,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/727da262-a920-4737-9e1d-ee1b9acacf8e/,tester_03,7.0,10.3823666,7.5544749,10.3821665,7.5544548,22.35844887023674,Yes
26,0f24b273-8628-4bbe-b384-3ae56b97e909,2026-06-16,harvesting,rice maize,good,good,---,goats,fair,---,no,---,poor_rainfall feed_shortage,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/0f24b273-8628-4bbe-b384-3ae56b97e909/1783359108794.jpg,10.2957289 7.3758718 0.0 20.0,e5a4c95b-1dff-4387-9603-5ac9e3bcd70e,2026-06-16 14:46:00,2026-06-16 14:41:00,tester_03,2026-06-16 14:46:26,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/0f24b273-8628-4bbe-b384-3ae56b97e909/,tester_03,5.0,10.2957289,7.3758718,10.2956983,7.375949,9.105648852854307,Yes
27,7b511107-2928-4479-bff1-689c062284d7,2026-05-04,planting,rice,---,fair,---,goats,poor,---,partially,timely_weeding,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/7b511107-2928-4479-bff1-689c062284d7/1783319852767.jpg,10.2959379 7.3762489 0.0 20.0,e5a4c95b-1dff-4387-9603-5ac9e3bcd70e,2026-05-04 10:36:00,2026-05-04 10:33:00,tester_03,2026-05-04 10:36:27,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/7b511107-2928-4479-bff1-689c062284d7/,tester_03,3.0,10.2959379,7.3762489,10.2956983,7.375949,42.265055034381845,Yes
28,28a4a478-7b83-4b75-9cf3-64558cb0be16,2026-06-21,land_preparation,groundnuts,---,---,good,---,---,---,partially,timely_weeding,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/28a4a478-7b83-4b75-9cf3-64558cb0be16/1784704123345.jpg,10.4900630 7.5364588 0.0 20.0,50d85b3b-3805-4718-acfb-b7700a5c2f86,2026-06-21 12:49:00,2026-06-21 12:46:00,tester_02,2026-06-21 12:49:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/28a4a478-7b83-4b75-9cf3-64558cb0be16/,tester_02,3.0,10.490063,7.5364588,10.4896726,7.5362023,51.68155870988973,Yes
29,72d98e0e-a2f4-4754-8366-4e0d9dee7ecb,2026-07-22,harvesting,maize rice,poor,good,---,---,---,---,yes,timely_weeding improved_seed improved_livestock_housing,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/72d98e0e-a2f4-4754-8366-4e0d9dee7ecb/1783538720858.jpg,10.4893757 7.5363749 0.0 20.0,50d85b3b-3805-4718-acfb-b7700a5c2f86,2026-07-22 12:17:00,2026-07-22 12:09:00,tester_02,2026-07-22 12:17:23,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/72d98e0e-a2f4-4754-8366-4e0d9dee7ecb/,tester_02,8.0,10.4893757,7.5363749,10.4896726,7.5362023,38.026872790438375,Yes
30,2f394a75-b4bf-4c8f-b232-8ce9eaedfc99,2026-06-16,vegetative_growth,maize,poor,---,---,goats rabbits,good,fair,yes,fertilizer_application proper_spacing,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/2f394a75-b4bf-4c8f-b232-8ce9eaedfc99/1784877241440.jpg,10.4174914 7.3379316 0.0 20.0,9b5b58af-e4b6-4359-be89-03b404afd261,2026-06-16 08:55:00,2026-06-16 08:49:00,tester_07,2026-06-16 08:55:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/2f394a75-b4bf-4c8f-b232-8ce9eaedfc99/,tester_07,6.0,10.4174914,7.3379316,10.3860136,7.3024975,5222.017332655997,No
31,02cd5f25-09d9-4885-a50d-1c9ed3c63748,2026-08-13,vegetative_growth,rice groundnuts maize,good,fair,poor,rabbits goats,poor,fair,yes,fertilizer_application pest_management improved_livestock_housing improved_seed,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/02cd5f25-09d9-4885-a50d-1c9ed3c63748/1783434954512.jpg,10.3857696 7.3021029 0.0 20.0,9b5b58af-e4b6-4359-be89-03b404afd261,2026-08-13 08:20:00,2026-08-13 08:12:00,tester_07,2026-08-13 08:20:29,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/02cd5f25-09d9-4885-a50d-1c9ed3c63748/,tester_07,8.0,10.3857696,7.3021029,10.3860136,7.3024975,50.97831393360314,Yes
32,daf1df1d-99b7-426c-b6e1-98dd12245463,2026-09-14,flowering,rice maize groundnuts,fair,good,good,---,---,---,partially,fertilizer_application,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/daf1df1d-99b7-426c-b6e1-98dd12245463/1784457075563.jpg,10.4827011 7.3742040 0.0 20.0,17024584-c2ed-451f-bcce-f584f6f7e7e7,2026-09-14 10:03:00,2026-09-14 09:58:00,tester_06,2026-09-14 10:03:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/daf1df1d-99b7-426c-b6e1-98dd12245463/,tester_06,5.0,10.4827011,7.374204,10.4829235,7.3741949,24.749759876614824,Yes
33,e3fd3002-ffb4-43d4-81bf-23fdff781e13,2026-10-01,land_preparation,rice maize,good,good,---,---,---,---,partially,improved_livestock_housing timely_weeding,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/e3fd3002-ffb4-43d4-81bf-23fdff781e13/1783203894320.jpg,10.4831555 7.3737883 0.0 20.0,17024584-c2ed-451f-bcce-f584f6f7e7e7,2026-10-01 10:12:00,2026-10-01 10:07:00,tester_06,2026-10-01 10:12:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/e3fd3002-ffb4-43d4-81bf-23fdff781e13/,tester_06,5.0,10.4831555,7.3737883,10.4829235,7.3741949,51.39981416384477,Yes
