number,formid,form.section_1_training_information.training_date,form.section_1_training_information.training_topic.choice,form.section_1_training_information.training_topic.specify_other,form.section_1_training_information.training_venue,form.section_1_training_information.trainer_name,form.section_2_attendance.did_the_farmer_attend_the_training,form.section_2_attendance.attendance_status,form.section_2_attendance.reason_for_partial_attendance,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,training_duration_minutes
10,3b3cc984-a61e-4545-99dd-e796f2f7cc4b,2026-06-20,pest_and_disease_management,,Village Square,Trainer 1,yes,full_attendance,,e5a4c95b-1dff-4387-9603-5ac9e3bcd70e,2026-06-20 09:59:00,2026-06-20 09:53:00,tester_03,2026-06-20 09:59:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/3b3cc984-a61e-4545-99dd-e796f2f7cc4b/,tester_03,6.0
11,67d00f8d-8d7e-47fa-ad5e-adf19ae3901f,2026-10-01,livestock_management,,Village Square,Trainer 2,yes,full_attendance,,50d85b3b-3805-4718-acfb-b7700a5c2f86,2026-10-01 09:41:00,2026-10-01 09:35:00,tester_02,2026-10-01 09:41:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/67d00f8d-8d7e-47fa-ad5e-adf19ae3901f/,tester_02,6.0
12,91d26804-97c8-4280-8d33-863d89ab51fc,2026-07-09,livestock_management,,Primary School,Trainer 2,yes,partial_attendance,personal_emergency,9b5b58af-e4b6-4359-be89-03b404afd261,2026-07-09 12:47:00,2026-07-09 12:42:00,tester_07,2026-07-09 12:47:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/91d26804-97c8-4280-8d33-863d89ab51fc/,tester_07,5.0
13,4e89c56e-ea0e-4e1a-8b58-981830bf387f,2026-08-17,soil_fertility_management,,Farmer Cooperative Centre,Trainer 2,yes,partial_attendance,left_early,17024584-c2ed-451f-bcce-f584f6f7e7e7,2026-08-17 13:30:00,2026-08-17 13:25:00,tester_06,2026-08-17 13:30:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4e89c56e-ea0e-4e1a-8b58-981830bf387f/,tester_06,5.0
14,f470cab9-05de-413c-933b-6fd928aa9c04,2026-01-22,irrigation_and_water_management,,Community Hall,Trainer 5,no,,,c82f5468-cb66-4289-b22b-8b7a72a0a54b,2026-01-22 13:11:00,2026-01-22 13:05:00,tester_03,2026-01-22 13:11:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/f470cab9-05de-413c-933b-6fd928aa9c04/,tester_03,6.0
15,983bbfec-fa4b-43ba-8312-4f538d62202f,2026-09-17,good_agronomic_practices,,Primary School,Trainer 3,yes,full_attendance,,4f71ef13-3dd3-41bf-a73b-47229b955f9d,2026-09-17 10:15:00,2026-09-17 10:13:00,tester_03,2026-09-17 10:15:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/983bbfec-fa4b-43ba-8312-4f538d62202f/,tester_03,2.0
16,0db75705-f7fc-4ba4-89f9-1fdac00bee69,2026-06-12,soil_fertility_management,,Primary School,Trainer 1,yes,full_attendance,,1013332a-613c-4337-a8e6-b1a215ae7f79,2026-06-12 14:10:00,2026-06-12 14:07:00,tester_02,2026-06-12 14:10:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/0db75705-f7fc-4ba4-89f9-1fdac00bee69/,tester_02,3.0
17,ef147700-8dfe-42f9-93fa-88409b45455f,2026-08-09,pest_and_disease_management,,Primary School,Trainer 1,yes,full_attendance,,174ac534-5424-4f95-b1dc-5ead465fa5e4,2026-08-09 12:15:00,2026-08-09 12:11:00,tester_01,2026-08-09 12:15:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ef147700-8dfe-42f9-93fa-88409b45455f/,tester_01,4.0
18,1d18e388-d275-493b-b55a-bb42e442d293,2026-05-20,soil_fertility_management,,Village Square,Trainer 4,yes,full_attendance,,b44b3301-065a-43fc-858a-56b7bff8a739,2026-05-20 13:49:00,2026-05-20 13:45:00,tester_04,2026-05-20 13:49:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1d18e388-d275-493b-b55a-bb42e442d293/,tester_04,4.0
19,b17337de-1dfd-443e-a1fa-115c73478f9e,2026-08-14,pest_and_disease_management,,Community Hall,Trainer 2,yes,full_attendance,,e8e063e3-8651-4e03-b652-a28d76e8d466,2026-08-14 13:55:00,2026-08-14 13:53:00,tester_04,2026-08-14 13:55:06,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b17337de-1dfd-443e-a1fa-115c73478f9e/,tester_04,2.0
20,50a0cfb2-3ed4-41cf-82d7-a508f1744b1e,2026-06-01,record_keeping,,Farmer Cooperative Centre,Trainer 2,yes,full_attendance,,271d4428-b412-466b-bc8b-36a1aa7fd656,2026-06-01 11:19:00,2026-06-01 11:14:00,tester_07,2026-06-01 11:19:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/50a0cfb2-3ed4-41cf-82d7-a508f1744b1e/,tester_07,5.0
21,35c9c752-bfc8-447e-9cd1-b29767a51875,2026-05-16,soil_fertility_management,,Extension Office,Trainer 3,yes,full_attendance,,8ac8882e-5497-40d9-8cf9-9a66131b9724,2026-05-16 08:52:00,2026-05-16 08:44:00,tester_06,2026-05-16 08:52:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/35c9c752-bfc8-447e-9cd1-b29767a51875/,tester_06,8.0
22,28330e34-c7bb-4ab6-a710-ed0101a38df0,2026-10-08,livestock_management,,Farmer Cooperative Centre,Trainer 4,yes,full_attendance,,f76e166e-3ac0-4bd2-81a5-21c0369334be,2026-10-08 11:34:00,2026-10-08 11:28:00,tester_01,2026-10-08 11:34:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/28330e34-c7bb-4ab6-a710-ed0101a38df0/,tester_01,6.0
23,4bb86e62-7e21-4a4e-8459-2e211ecddd37,2026-09-23,pest_and_disease_management,,Primary School,Trainer 1,yes,full_attendance,,eeda2206-36f7-4732-923d-23c8e68132ed,2026-09-23 13:19:00,2026-09-23 13:16:00,tester_07,2026-09-23 13:19:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4bb86e62-7e21-4a4e-8459-2e211ecddd37/,tester_07,3.0
24,a9b9786d-fd25-46a4-8fcd-39b46fe763da,2026-05-28,record_keeping,,Farmer Cooperative Centre,Trainer 4,no,,,5c050ca4-6a0d-4371-a71f-00cffe5ef21c,2026-05-28 15:52:00,2026-05-28 15:47:00,tester_03,2026-05-28 15:52:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a9b9786d-fd25-46a4-8fcd-39b46fe763da/,tester_03,5.0
25,c5e1fe59-9a2b-4be5-83fc-24e1df005ad2,2026-08-25,pest_and_disease_management,,Primary School,Trainer 1,yes,full_attendance,,b990a12f-41f4-47d9-bebb-09947ef84d81,2026-08-25 09:34:00,2026-08-25 09:26:00,tester_05,2026-08-25 09:34:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c5e1fe59-9a2b-4be5-83fc-24e1df005ad2/,tester_05,8.0
26,1b85ac76-e496-4626-901d-57e9de13f14c,2026-05-11,soil_fertility_management,,Extension Office,Trainer 1,yes,full_attendance,,c0b82cfc-acdf-45b2-bff9-cf5abf6f13a9,2026-05-11 15:57:00,2026-05-11 15:52:00,tester_01,2026-05-11 15:57:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1b85ac76-e496-4626-901d-57e9de13f14c/,tester_01,5.0
27,9c716ee1-a148-4cda-9b4f-5ebc51dfc61c,2026-03-07,soil_fertility_management,,Village Square,Trainer 1,yes,partial_attendance,other,f14fc6cd-cfcf-475e-bbed-5ffeac8224e9,2026-03-07 14:06:00,2026-03-07 14:04:00,tester_05,2026-03-07 14:06:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/9c716ee1-a148-4cda-9b4f-5ebc51dfc61c/,tester_05,2.0
28,37647932-ef23-420f-9bf0-dbb8dc2acbe6,2026-05-24,livestock_management,,Extension Office,Trainer 2,yes,full_attendance,,561b16b5-944f-4dca-9c52-d7c96e95ba73,2026-05-24 15:09:00,2026-05-24 15:03:00,tester_06,2026-05-24 15:09:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/37647932-ef23-420f-9bf0-dbb8dc2acbe6/,tester_06,6.0
29,7b02da43-01a8-4209-b2a8-6936a373df58,2026-07-13,pest_and_disease_management,,Community Hall,Trainer 3,yes,full_attendance,,89daa4ce-9c87-4c56-aaae-ab15da16a71f,2026-07-13 13:46:00,2026-07-13 13:41:00,tester_03,2026-07-13 13:46:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/7b02da43-01a8-4209-b2a8-6936a373df58/,tester_03,5.0
30,58532b55-a20b-4729-9433-1991a9116de7,2026-09-07,soil_fertility_management,,Farmer Cooperative Centre,Trainer 4,yes,full_attendance,,a0e1f86a-8b28-4482-9861-208969437698,2026-09-07 10:09:00,2026-09-07 10:01:00,tester_02,2026-09-07 10:09:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/58532b55-a20b-4729-9433-1991a9116de7/,tester_02,8.0
31,4e39829c-3dd6-440a-8ebe-d8e301a4b928,2026-08-14,irrigation_and_water_management,,Primary School,Trainer 3,yes,full_attendance,,55bc0f98-1461-45b5-9732-c6f3f186e685,2026-08-14 14:27:00,2026-08-14 14:23:00,tester_05,2026-08-14 14:27:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4e39829c-3dd6-440a-8ebe-d8e301a4b928/,tester_05,4.0
32,a0462a9d-75ff-4b95-8ce4-a39c30d405f3,2026-02-09,irrigation_and_water_management,,Community Hall,Trainer 5,yes,partial_attendance,other,9d6ee19f-8000-4921-83dd-1ec3e934191d,2026-02-09 10:18:00,2026-02-09 10:10:00,tester_01,2026-02-09 10:18:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a0462a9d-75ff-4b95-8ce4-a39c30d405f3/,tester_01,8.0
33,f87e9db6-711b-4d83-b4a1-c3fcf62b2199,2026-03-03,good_agronomic_practices,,Extension Office,Trainer 2,yes,full_attendance,,401ca8a6-d0e9-4f53-a6b0-16041e59c9e5,2026-03-03 14:28:00,2026-03-03 14:21:00,tester_05,2026-03-03 14:28:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/f87e9db6-711b-4d83-b4a1-c3fcf62b2199/,tester_05,7.0
34,98248867-332d-463a-ad4f-a022dc00e538,2026-08-07,other,Financial Literacy,Extension Office,Trainer 2,yes,full_attendance,,1f999fff-5472-45c0-93c6-ddf4324029ea,2026-08-07 14:11:00,2026-08-07 14:04:00,tester_04,2026-08-07 14:11:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/98248867-332d-463a-ad4f-a022dc00e538/,tester_04,7.0
35,869b65e7-4ce7-4141-bba3-7b61c0c1562b,2026-04-07,irrigation_and_water_management,,Community Hall,Trainer 4,yes,full_attendance,,263a50b5-a00d-49db-9035-65bb6d1a30a6,2026-04-07 09:44:00,2026-04-07 09:42:00,tester_06,2026-04-07 09:44:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/869b65e7-4ce7-4141-bba3-7b61c0c1562b/,tester_06,2.0
36,741b1dc7-17a7-4fda-b4c3-1c5bf3bbf3bc,2026-07-31,livestock_management,,Farmer Cooperative Centre,Trainer 5,yes,partial_attendance,arrived_late,0cb01918-4651-4592-87f9-3c35be8ab5c1,2026-07-31 13:02:00,2026-07-31 12:57:00,tester_05,2026-07-31 13:02:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/741b1dc7-17a7-4fda-b4c3-1c5bf3bbf3bc/,tester_05,5.0
37,92ca1b73-aca1-482f-b2e3-2e2ef5de82d9,2026-05-27,soil_fertility_management,,Village Square,Trainer 5,yes,full_attendance,,26f387c9-f374-4b44-b261-1864ac04b680,2026-05-27 09:01:00,2026-05-27 08:54:00,tester_01,2026-05-27 09:01:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/92ca1b73-aca1-482f-b2e3-2e2ef5de82d9/,tester_01,7.0
38,e478c02c-842d-416e-8d4f-6dd2b3976388,2026-08-14,soil_fertility_management,,Extension Office,Trainer 3,yes,full_attendance,,544f9043-3530-46d8-a979-30bd90fc286e,2026-08-14 10:47:00,2026-08-14 10:44:00,tester_02,2026-08-14 10:47:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/e478c02c-842d-416e-8d4f-6dd2b3976388/,tester_02,3.0
39,7b1e1832-8e5a-4517-aeed-b2640d213f85,2026-05-16,good_agronomic_practices,,Community Hall,Trainer 5,yes,full_attendance,,706c0066-9554-4932-9a10-c4fb63698b9a,2026-05-16 09:27:00,2026-05-16 09:22:00,tester_04,2026-05-16 09:27:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/7b1e1832-8e5a-4517-aeed-b2640d213f85/,tester_04,5.0
40,55f23df4-2f64-440b-8419-a047dfbfe604,2026-07-22,good_agronomic_practices,,Farmer Cooperative Centre,Trainer 3,yes,full_attendance,,33721e47-1417-4c1a-81cd-601c95de9135,2026-07-22 11:19:00,2026-07-22 11:13:00,tester_01,2026-07-22 11:19:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/55f23df4-2f64-440b-8419-a047dfbfe604/,tester_01,6.0
41,4f1948cf-1223-4831-b2ab-201dbaa70572,2026-05-10,record_keeping,,Farmer Cooperative Centre,Trainer 3,yes,partial_attendance,personal_emergency,19eb00b3-16e6-419c-8de9-8fd834c9d3e8,2026-05-10 13:32:00,2026-05-10 13:25:00,tester_01,2026-05-10 13:32:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4f1948cf-1223-4831-b2ab-201dbaa70572/,tester_01,7.0
42,527b9e4f-4080-4011-9d09-1ca9303f5c24,2026-04-07,pest_and_disease_management,,Primary School,Trainer 3,yes,full_attendance,,503b74d8-7c1c-4857-8a87-4c47f54fcc27,2026-04-07 15:31:00,2026-04-07 15:25:00,tester_02,2026-04-07 15:31:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/527b9e4f-4080-4011-9d09-1ca9303f5c24/,tester_02,6.0
43,ab98cd76-a35c-469c-8809-265beb7f4c61,2026-05-03,other,Climate Smart Agriculture,Community Hall,Trainer 4,yes,full_attendance,,5881455e-bbb4-4498-b33b-778bb5574ff8,2026-05-03 09:00:00,2026-05-03 08:55:00,tester_03,2026-05-03 09:00:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ab98cd76-a35c-469c-8809-265beb7f4c61/,tester_03,5.0
44,cb0181d2-7b1a-41a4-a42a-ce1c1b70b4b9,2026-07-17,pest_and_disease_management,,Community Hall,Trainer 1,no,,,78c92222-e08f-4f6e-b617-63e2f3894e9b,2026-07-17 11:49:00,2026-07-17 11:43:00,tester_05,2026-07-17 11:49:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/cb0181d2-7b1a-41a4-a42a-ce1c1b70b4b9/,tester_05,6.0
45,bb04e8b5-86ae-4400-a9d3-057c6792dd5b,2026-04-15,soil_fertility_management,,Village Square,Trainer 2,yes,full_attendance,,eef28217-381d-485e-a234-20c4a536330b,2026-04-15 11:11:00,2026-04-15 11:09:00,tester_03,2026-04-15 11:11:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/bb04e8b5-86ae-4400-a9d3-057c6792dd5b/,tester_03,2.0
46,8ac7b585-c3b0-495f-8f8a-70c4e7bbf042,2026-06-29,other,Financial Literacy,Extension Office,Trainer 5,yes,full_attendance,,70edf763-b1b5-4bd0-afd3-87145141b27d,2026-06-29 13:49:00,2026-06-29 13:44:00,tester_06,2026-06-29 13:49:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/8ac7b585-c3b0-495f-8f8a-70c4e7bbf042/,tester_06,5.0
47,fd962c6d-002d-43ff-a0e4-c18bc1043f32,2026-07-15,soil_fertility_management,,Primary School,Trainer 4,yes,full_attendance,,3ab61424-093f-4bb2-9a21-d58f4e2572bf,2026-07-15 14:50:00,2026-07-15 14:48:00,tester_02,2026-07-15 14:50:06,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/fd962c6d-002d-43ff-a0e4-c18bc1043f32/,tester_02,2.0
48,00867d86-ef68-468a-9332-e91cb17928db,2026-06-12,record_keeping,,Village Square,Trainer 5,yes,full_attendance,,3ba8077e-b23a-443e-8949-cccbbc05fd4a,2026-06-12 14:49:00,2026-06-12 14:47:00,tester_01,2026-06-12 14:49:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/00867d86-ef68-468a-9332-e91cb17928db/,tester_01,2.0
49,06a2dbac-3b7e-447d-a7e5-eb60519a13e1,2026-04-18,soil_fertility_management,,Village Square,Trainer 3,no,,,23108630-574a-482f-ac3e-0a598fed1ca5,2026-04-18 10:23:00,2026-04-18 10:20:00,tester_06,2026-04-18 10:23:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/06a2dbac-3b7e-447d-a7e5-eb60519a13e1/,tester_06,3.0
50,ac28a5e7-1cb4-45fe-b149-f754099891ed,2026-05-04,livestock_management,,Farmer Cooperative Centre,Trainer 4,yes,partial_attendance,arrived_late,36e2f17b-b0de-45a6-87b3-6d01ddb4366c,2026-05-04 10:03:00,2026-05-04 10:00:00,tester_06,2026-05-04 10:03:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ac28a5e7-1cb4-45fe-b149-f754099891ed/,tester_06,3.0
51,5b877bd6-3d33-4cb3-aa55-e9f73c3535b4,2026-04-24,other,Financial Literacy,Farmer Cooperative Centre,Trainer 4,yes,full_attendance,,5b37c7f0-3183-4326-aea6-0d9385048f0c,2026-04-24 15:09:00,2026-04-24 15:07:00,tester_07,2026-04-24 15:09:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/5b877bd6-3d33-4cb3-aa55-e9f73c3535b4/,tester_07,2.0
52,d22f704c-5358-456b-a449-41114c1b8249,2026-04-30,soil_fertility_management,,Village Square,Trainer 5,yes,partial_attendance,left_early,44bb4203-2e1e-441d-b1f9-b3f69daf9351,2026-04-30 08:10:00,2026-04-30 08:02:00,tester_04,2026-04-30 08:10:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/d22f704c-5358-456b-a449-41114c1b8249/,tester_04,8.0
53,cad49f1e-3cc3-4d4d-b8bf-9724046c0e5f,2026-05-11,good_agronomic_practices,,Primary School,Trainer 2,yes,full_attendance,,bfa43db2-3a27-4586-83af-6023f0fcf020,2026-05-11 13:39:00,2026-05-11 13:37:00,tester_05,2026-05-11 13:39:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/cad49f1e-3cc3-4d4d-b8bf-9724046c0e5f/,tester_05,2.0
54,768e7064-5b5b-4e86-a4bc-f0917384069c,2026-01-24,soil_fertility_management,,Primary School,Trainer 5,yes,full_attendance,,2268b757-ad90-4edf-baf4-c88b5293b9e9,2026-01-24 08:52:00,2026-01-24 08:48:00,tester_05,2026-01-24 08:52:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/768e7064-5b5b-4e86-a4bc-f0917384069c/,tester_05,4.0
55,6f3cced9-720e-427f-bebf-ccbce1a572f6,2026-05-28,livestock_management,,Community Hall,Trainer 5,no,,,e102f4fd-69af-4d1c-98c8-c1cbe8b4b15a,2026-05-28 13:19:00,2026-05-28 13:15:00,tester_07,2026-05-28 13:19:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/6f3cced9-720e-427f-bebf-ccbce1a572f6/,tester_07,4.0
56,b2563475-67ac-4d84-adf6-62f11d493c85,2026-06-22,pest_and_disease_management,,Extension Office,Trainer 5,yes,full_attendance,,fac3dda9-012d-456a-880d-df40d54b2085,2026-06-22 11:26:00,2026-06-22 11:20:00,tester_05,2026-06-22 11:26:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b2563475-67ac-4d84-adf6-62f11d493c85/,tester_05,6.0
57,1ae55f62-843b-4b5e-ab46-3d427d38d2af,2026-04-08,livestock_management,,Community Hall,Trainer 1,yes,full_attendance,,1140088e-b7b6-4147-ac16-1416abb35ce3,2026-04-08 13:08:00,2026-04-08 13:00:00,tester_02,2026-04-08 13:08:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1ae55f62-843b-4b5e-ab46-3d427d38d2af/,tester_02,8.0
58,7f5d6e3e-6024-4f8a-b1a0-409795bbeb2d,2026-04-21,record_keeping,,Community Hall,Trainer 1,yes,full_attendance,,7e1458e2-d441-4e18-9d78-13d06fcd4649,2026-04-21 08:56:00,2026-04-21 08:53:00,tester_03,2026-04-21 08:56:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/7f5d6e3e-6024-4f8a-b1a0-409795bbeb2d/,tester_03,3.0
59,2cf9e6d5-a0bf-4fef-a5ba-26bea2bdf22a,2026-06-30,soil_fertility_management,,Extension Office,Trainer 3,yes,partial_attendance,other,8620c092-8826-4dd1-ac0f-929b07b42753,2026-06-30 11:04:00,2026-06-30 10:56:00,tester_05,2026-06-30 11:04:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/2cf9e6d5-a0bf-4fef-a5ba-26bea2bdf22a/,tester_05,8.0
60,44dd5e42-62ec-4796-b20d-0160402c571a,2026-05-19,livestock_management,,Primary School,Trainer 1,yes,full_attendance,,d1a82f65-11e9-4b99-b105-ed9deeb26982,2026-05-19 14:28:00,2026-05-19 14:25:00,tester_01,2026-05-19 14:28:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/44dd5e42-62ec-4796-b20d-0160402c571a/,tester_01,3.0
61,87712a82-e3c7-4929-8df9-14272ed4b2f3,2026-06-17,soil_fertility_management,,Farmer Cooperative Centre,Trainer 1,no,,,b6c0b8cb-a3a6-4371-8d56-021e9da50032,2026-06-17 10:18:00,2026-06-17 10:14:00,tester_02,2026-06-17 10:18:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/87712a82-e3c7-4929-8df9-14272ed4b2f3/,tester_02,4.0
62,c4210286-4686-462a-a268-c8c108d11678,2026-04-21,livestock_management,,Community Hall,Trainer 1,yes,full_attendance,,58d125fe-1c60-4699-8310-8e9bba5f6734,2026-04-21 11:47:00,2026-04-21 11:45:00,tester_03,2026-04-21 11:47:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c4210286-4686-462a-a268-c8c108d11678/,tester_03,2.0
63,a8a578fe-a319-439e-88e7-742bcac05dcd,2026-05-10,irrigation_and_water_management,,Farmer Cooperative Centre,Trainer 5,yes,full_attendance,,9fe9e16d-7718-430c-ae24-3e59d5dbadd5,2026-05-10 14:23:00,2026-05-10 14:18:00,tester_05,2026-05-10 14:23:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a8a578fe-a319-439e-88e7-742bcac05dcd/,tester_05,5.0
